signature,jito_tip_lamports
2dcB16BkThmd5xgcaWyYym8U5o54WdpAH3nMzT4oTRXH3AwmknEZtSXhno6sF7FwA2ZPrbfDrAwtEKEBviNf3jRT,62925091
2yQcjHeSDrPGJyT49nMLp5QeMnH4dq7buGUKJZ7et7XEJas7Wq2ArRjKvJkCxTaKEfjAkKRhLNPwJbL5X6sRoM5Z,42240981
QjfNP97TeGS6xD6eUpyxApNX3iyEr5Bv9hxRNvgsdGrWftZUFJeJLpgxzKU676373kFS1TQyN2ohmBiQYpEYmRX,51898845
3bdsJLrnnVfCjbwWPdGkZ4duk7QCbUrz5g4nBcH9eTjoyV7J8rWwGLYRAwD3HH7i6mc9QXy2pyDbh44hCTqnX83Y,42137546
2fp3nrHN7dTF8Ba6EDwsgvnEbKhboetoWR1UUCRibJ9gesERv1JYKsgwEQxakBAKoesXu6FK2tSTECnPegELYqyu,1012000
2pLX2dHztkvEsYwjamVx2x7TLXA52vmDMNTrD5DKFqDzzsTF7CRwYcKXS1nqhXcogbsjGAqfZ9GwCmCaTdJM52BZ,1009900
3smYC5SbqdqnpkG7QE4rPU91aeRBgEw2ERD6zT5FB9wQmas74jB4LRK7mKg5maiXpWBeSuSttyTKU9Pq9YR8NFaY,1012000
5iwTjUHDWcRJh5rsBribcw5dC2dq8wcQcWTNBq9s6UFkrkPGwhtXFbWGN6qqxupztfrbbLZ1WWDUG9NN1D21NM6n,1012000
25bQesc2dQSq7kiw95tUfzkxJgiZV6a3a4HieKnZvoeUdXNSujzxQcZBa443RTDq3y1dqLRumLbWkUdRh9JtSN2d,1012000
3TZHkpswxr7kNLQpwYUyiKbb8zvsvHf1fvEbsc5MY651T9iZSxiVgsRsY5aAC8Grz5H7SpWxFif9mkmbiFfuEiUZ,1009900
2VYAHqbcgWhEtyB6TuRTAqneQKp8mdnVvxCb5mxdX435Hy8udoDh25E5kcbhNa1WZLWEr6wXwPNF3W9MiQgdyYgy,1009900
4tnnWHLQhADqUsXbLMvtbwbCeSdgZwtuhWokB8mqYoFKJ9jTEGWKe5ZAXzo7jHC7gmcJYkbNmiFCAjW9N7ZLsMF6,1009900
4pdrDRgiZ9GQeGBHxntAoMcjbDtT7P3hzcNVnYiHp1mhhGCKXv9GFCmyUwUyHzJPYGuci7CoWErKDr1qaHbVRBZW,1012000
3qx53DVzRvYrGnpLLVzSLCLH6GP4UNZ2a2W2yaE2kJiCNymyxxW71YGQRaeHcPn6FzJzeQhXKqUHwusQ4FZfy4Lq,1012000
595v33ot9DNmHAGuvVwrRZKHraUesTPm1EdASpSV6QZHwEEdGdcYSWo14chyKA1wwiw64jtFKLyFKaj7uVgmPhXB,1012000
sLeFuFv2jUrfdqVZ9eLZx1KyJiM9CkodsraZt6dajAjQXnnS93WvjMESzpJg64QNucayUoYoDwhpzaTgtQcuE29,1012000
2MeHcTFYry2WN6PdG2ZSgT4Nz3rS8QUfseoewGxd4KBGyDZ6vrotfBqnPPMm54iZgZVt9EFAxv6iahiR2jkyTLyv,1012000
QsZcHiSfyiDvQNzPWBWVhNa5JnGd2pjQpeiUtTnCDoSYqmLq4mvBXw58hZvjDBiKemjQumfwbrE98A1dH285XEf,1012000
2zspMoKkR7JCiRt8B3DJQq5SSH4TnnLLfYBsiwD7mbd4NnYbwecrwzaATxs2H5nsLewMWhM4csUwKeN8m8FYsVps,1012000
5FqMveDAf74cybmZKt1Y1XxDwGkujsWkejhvJmCkXWj629ZL79gtBCntwyhUek7EtPGT4GwLe44Lfc3qrD83m9EP,1012000
5AFVH8uAPRAj4vmfvhpjimLVmjrWZjZeaFskUuk3dSMChTWdEpmYtgXTnSZH5s5nMHWZAK73Lrd3NFRrb4Wf39V2,1012000
4n4e58JNk3p7dZjnfhzAvD5YiH7jpF9r5Sv4DvLqJKxVPYnvQvuYkYUjL3QPua6tQpUWG14g1iq16zxqeYqRg3c2,1012000
3hcv4qVqHXfAeRByM9uCGUR3h3WAZQcivrnHkP9K1Zz8e3NBvFC8cro2ZNtCJ7BDSYUvY2A93miaHqHbC9wpXKtS,1012000
58yWuphSTMLK753nL1h4SR2deheeQnSSZQKEidCbC7JXvuTB6apACtWK42sED3TvTyqkVKrWu1HtGGoZjcWhqi7G,1012000
4Dv2qAYqdSNkqrLKcZXVABpCRb4JwwCKNUK9smjt1PSm2WKnYfSATjgfzQNirq4RBBsyHpWMGMWV5kJuT2TMdYB4,724489
dMj6Z7tCVHknSRJUU9QiATC5LXU5ymPrD3ix9QhdKbUx9oMXc6fgMxGwnhhvPwpmGvtvbdpuWS1xtA6Ebhhx5Qm,11290
2j5LsUsYj6Db8FSQ6c6dbSPEvApwq1Ssy9VQnwrvXJTMSU7MM7eoGnhpJptnd8CZNAZvErpi5nSQoUMpkdendXkA,1012000
38fv9WeQGwzGQgxawrcutFHx69Kk2Tg833uSaetoJwQrVSsDVHoAoTWWPp2GthAGMFmjk9AZv8u8GFiRMsPTu1EQ,1012000
4XJdpZVLuoGFz4YzMeKVvogksfVndU7UXYcHEFrULtSZtxxGZDJrxpoB5REidZ1ZtW4D2MpQmisiFxHi1KFXaMJH,1012000
2mVoRPnE1QTsjRXzvkvueJrsEzBy1Ec1SZ5K2dzudERyycUfxnoJ8NDLrDWSZeqXHib5koqVGkbEap1m4cfUAmD8,14347915
4WBxSuzJK2xxGESa4fUoEjNe1etBkghbNj3XBMEw9u6AEpy8M4kRA6Gs76zEMAJRRUwSnGgAhCJPdHVsAnB8KRwq,232461
XdQV3VVYhvmVXMyUZSiAassvskNjtETrqaRHe5i1AxGn1sLuyLLYWfeXhqiQc6sxaT6ncampT8jJ7Hgqz7WRvqW,24844015
578tChd7g2K4s3fUFfx8cpESQdaX82h6R8ZmyofjkUqAGWB8aMetoqV2VDnK6YxyhMT6qTAd7Ao5wVNuwqL2fAbo,1012000
5LUpz4Akk5PfWiercbpAaVcE6qv7LkoLW1q5K7wPCsNMsHZHRtzb8TiaZ3cWZgfntpsSt6hd41Z4cuVsRxLcUpwZ,1012000
5Ntp9TA38AEt2dWaYMM1JYrWE8fTQxsmLCbWUmVSLrRqovDpNfhuZLmdQ2oW4FXFf7m7FH5HCiFPRXbs6CRKNGrc,1012000
4c1ELQ4w9eoFDu11rLZc7wp7XgGbEuzzdvX5CHANvn79sDys7V2CsNGATGxgW9yRCSi3naVHh7DorKbQ8XD7mBXE,1012000
2hD4WshWQweXqTD98x46bL8oAndeo6jCUsVfhgDUvGiKd43nyJhHPRkqUHCsnws6aLoh42H1mCrw8mDF94kuLi2o,1012000
v1vcyUacMxaPNoqLwhheuS2Fhf8Rn8mUXbECfk6ymsWTwjZrDYPCRwAZym3cXUTbw47zLJvnPwbZvrsUDuidUJm,1012000
2fxsDvyB3gXahmWStKwHLVwg4RiLXupp3gHgbAR2NPDFLigVF9CcYqH1gEPpPe9ghhMic7btSSLoiZErUjghRguV,1012000
2SMugrD1q94wcYKjbK1BX1VLuhHEaQBdFMbwXD8FKBcRYLqU6z9jjZiEkryaiCHGnjdVMXq8VJvd1NBagnyythPs,1000000
3vC7Ny8oL32ri44bwoGB21XaysXBtAMyKZtFYMLSbrCYfKZz7rdkyyRDtFb1a8mGWgGRUS79G4asNvE2QqDGSMLK,1012000
K2fG6xvC4PT8tLJTLd3TDiJhnUwrinEoLis7GGA3bu6Y2v9XEiH3fChit2zdMZYwX6B18zMznSnqXn8PApsbv3P,1009900
5NVDGW9HfBEjzxvgBmtz9XKp1PU5YKTHm1XC2sViBd5tDTmZ77sisynQs5Ctyd7GkPh643eZKSDe8CNjhYtdfwew,1009900
rg3qt9eBLtY8uUtfHp3NLoezfHybMTSkYSa9zYKqfQTcUKAMredLyZNip4roDNy5oU4ZfmS3PwGWWXeVciDyyZE,1000000
HKmWgHeFFHBCMxBNgomrQ6Cs2XHNvVBTotrYjEGwQ5NBuDHQreW6fK8anHhZYCU29UixFM8Buinm1EwCLo1B1Lo,1000000
SUKqXBkqYXmnVVjJUHYn5TERgBZZfq5z6GSQWbJrsfHXgfEHhsQ4UqZgfysNLuJaDjJqJPh7cUq6FLexJCdx9sY,1000000
ydpnkWTRrRCMmDa8pWCqYCt18grLXGRiJjdbhwajBj8K2KasHuG8p1R3a1oRKcfmfgzAR6wJWjJPSvriNcJ9jYf,1000000
58rJWC8czykWLudcuhxvnutPRLXJG4pFz13iEEus1bTfuJBu22pdoWkVhBUX25DWx4gLLhyLUB6wJDz34NMZfcJH,1000000
3DeUwFxY5CBwspZEVo7cCcPcTGdvkZPhbT6eVr6JBESqT8bD7LnZUoNsrw1sY9urUPX9AEf5g6BKaEhyLzkVB4ax,45114671
28k8pHQrRLA3aULC7KsSYzMcph9pW43xx4rPuy37R3KsuUmephZxLHL9hNHv3gmiLMCgTx697jc1xu1dxLPbT7v3,1000000
GJ2Yafvp1MEZwRTxur3UqgpdyojY5jYyVmsEVsdyx65smFtcvJQncjU2ztYNTANBsjFnjnaxq6J3xK1NyRWAPPy,1000000
44nBs4FHDSfNkJnvocmAGKTFL5riVdVHU4b9Gnc55RwUPQrdzU4MtqJuKW5VnJcZXTkymgWEdVGVnqGPXQMobuAw,1000000
5oYUEXo92zBYRFcQaNr6XYEjkDA84W8DGqkzmWXz4nxabTuAoMMZeXmoV2wg7iLtu2xw62aUj9M6KpsYPs9BnXWJ,1000000
5LGKNEoowUt89HFLwhHqcvn4NJkpEEArpUqWgxWyRLsFv9Jd5bc6W3R5UvByg556RP7Jwb4fTAbXH5yA1ZeWAzar,1000000
33eKzHbkoRMHhHGTxT6UN2M3rCh7dtopQsX575sGFRz5sfRUQTS2v32j7saDmWEE2z1G7QCHGt8qXaLTJD2cGwtt,1000000
5Lb67DybG9VqhnfqhV81BrBYoWSEa19dszsKmbm7PrqoWybqtk1tTEa96Ntdd5Atjf5ExyiC4v9wSuCP5BFtodZN,44407794
2aeoEj4bz99aKUzchpRDYVfcJP4qesGkqyEeoppzoc9fjDKqf5haynd658Mkrsy6peBuiWLrf51rbR8Kqj8awp1C,45999289
664vG5K1tou9STHusB5VofoLoS4KJnk2ppLzqZX4cFhctVkXVyPgWtrFm1q5yiEky3WrQhaQrgu3tSSFYM9oC94g,40053232
397cXAUxXPNiGES3tdjTf7H7Tc1VcNyhKXNQwFa5HTjmGGBMbTu5NKuMfEz3mxmNUNjNV7pP9TBiUF4GzDcucx1q,43413
2w3FBcaHSmh7BR9hjUJ2vk1nEDGPRStxqwGmgSx8reoEPFzDFdmB1yJEJbfbpnKHPXvrQCyuQvWombuiwFAUWTmA,39996
3QoerAVsHKJTEE43GzfPjqfPfxCaSv2MvKCRUav9xoddTLcmR7PmSiADWVWMj423f7KAnrzKuvE292VGvnZuNDqj,82057
2jTLawBceQ6NZU2rKP3vKAcCKDuJZ5vVYCydmPuLEx4wk3RzLRWWG7mRQUBboWT2gbwhTYCYnLcGbpQHXbFxFW1D,5467
